ReadGroup	Library	Sample	Total	Mapped	Duplicates	LENGTH_ESTIMATE	TEL0	TEL1	TEL2	TEL3	TEL4	TEL5	TEL6	TEL7	TEL8	TEL9	TEL10	TEL11	TEL12	TEL13	TEL14	TEL15	TEL16	GC0	GC1	GC2	GC3	GC4	GC5	GC6	GC7	GC8	GC9	
FAK05987	gm24385_181004DNA3a	HG002	47749	30016	0	10247.3	30004	4755	2251	1351	995	789	706	604	500	482	396	395	351	312	272	254	228	3762	3070	2516	1962	1562	1116	867	769	612	518	
FAK06063	gm24385_181004DNA3b	HG002	26355	19636	0	10555.1	15842	2929	1470	917	681	530	455	395	311	267	240	218	188	174	157	129	107	2314	1861	1474	1149	901	597	479	347	289	228	
FAK06064	gm24385_180807DNA2i	HG002	8734	5911	0	6626.86	5934	946	454	212	165	119	92	86	63	61	56	41	43	46	30	30	25	682	582	459	375	308	217	174	140	121	98	
FAK06100	gm24385_180831DNA1c	HG002	75979	51880	0	3893.03	55171	8669	3058	1729	1155	834	702	553	470	382	327	284	237	210	208	182	160	6884	5968	4953	4209	3351	2247	1845	1305	1043	859	
FAK06104	gm24385_181004DNA3c	HG002	71142	51366	0	7074.81	45171	8660	3792	2309	1566	1338	1004	867	723	635	507	430	361	344	313	246	268	6403	5516	4662	3726	2816	1983	1534	1106	911	716	
FAK06289	gm24385_181001DNA1a	HG002	12492	9654	0	12594.3	6970	1423	712	477	335	268	222	185	160	128	113	119	89	93	72	57	74	1029	769	636	491	372	254	189	133	137	97	
FAK08419	gm24385_180807DNA2h	HG002	81300	48999	0	7673.35	52390	8435	4044	2249	1599	1374	1132	970	864	739	596	585	506	497	431	408	347	7706	6544	5656	4462	3421	2181	1661	1256	930	775	
FAK08430	gm24385_181004DNA1a	HG002	54250	39405	0	13221	30412	5712	3096	2060	1510	1258	1022	922	799	664	605	537	486	430	378	343	294	4700	3573	2888	2336	1809	1177	933	716	612	518	
FAK08431	gm24385_181023DNA2a	HG002	17468	7189	0	5376.63	12740	1532	666	368	229	210	177	163	130	140	112	79	69	56	56	57	59	1123	992	852	755	674	565	472	400	325	338	
FAK08431-6516D7DC	gm24385_181023DNA2a	HG002	17468	7189	0	5376.63	12740	1532	666	368	229	210	177	163	130	140	112	79	69	56	56	57	59	1123	992	852	755	674	565	472	400	325	338	
